cboid,cbodesc,cbotrans,iscoid,iscodesc,cbo_currno,isco_currno
"0-1","QUÍMICOS, FÍSICOS E TRABALHADORES ASSEMELHADOS","","","",1,
"0-11","Químicos","","","",2,
"0-11.05","Químico industrial, em geral (exceto químico agrícola)","Industrial chemists, general (except agricultural chemists)","2113","Chemists",3,51
"0-11.10","Químico, em geral","Chemists in general","2113","Chemists",4,51
"0-11.25","Químico (tratamento de água)","Chemists (water treatment)","2113","Chemists",5,51
"0-11.45","Químico (petróleo)","Chemists (petroleum)","2113","Chemists",6,51
"0-11.50","Químico analista","Analytical chemists","2113","Chemists",7,51
"0-11.55","Químico agrícola","Agricultural chemists","2113","Chemists",8,51
"0-11.90","Outros químicos","Other chemists","2113","Chemists",9,51
"0-12","Físicos","","","",10,
"0-12.10","Físico, em geral","Physicists, general","2111","Physicists and astronomers",11,49
"0-12.15","Físico (medicina)","Physicists (medicine)","2111","Physicists and astronomers",12,49
"0-12.20","Físico (mecânica)","Physicists (mechanics)","2111","Physicists and astronomers",13,49
"0-12.30","Físico (térmica)","Physicists (thermal)","2111","Physicists and astronomers",14,49
"0-12.35","Físico-químico","Chemical physicists","2111","Physicists and astronomers",15,49
"0-12.40","Físico (óptica)","Physicists (optical)","2111","Physicists and astronomers",16,49
"0-12.50","Físico (acústica)","Physicists (acoustic)","2111","Physicists and astronomers",17,49
"0-12.60","Físico (eletricidade e magnetismo)","Physicists (electricity and magnetism)","2111","Physicists and astronomers",18,49
"0-12.70","Físico (eletrônica)","Physicists (electronic)","2111","Physicists and astronomers",19,49
"0-12.80","Físico nuclear","Nuclear physicists","2111","Physicists and astronomers",20,49
"0-12.90","Outros físicos","Other physicists","2111","Physicists and astronomers",21,49
"0-19","Químicos, físicos e trabalhadores assemelhados não-classificados sob outras epíg","","","",22,
"0-19.20","Geofísico","Geophysicists","2114","Geologists and geophysicists",23,52
"0-19.30","Meteorologista","Meteorologists","2112","Meteorologists",24,50
"0-19.40","Astrônomo","Astronomers","2111","Physicists and astronomers",25,49
"0-19.50","Pesquisador de telecomunicações","Telecommunications researchers","2111","Physicists and astronomers",26,49
"0-19.90","Outros químicos, físicos e trabalhadores assemelhados não-classificados sob outr","Other chemists, physicists and related workers n.e.c.","2111","Physicists and astronomers",27,49
"0-2","ENGENHEIROS, ARQUITETOS E TRABALHADORES ASSEMELHADOS","","","",28,
"0-20","Engenheiros agrônomos, florestais e de pesca","","","",29,
