CBO94;CBO2002
X4010;020105
X4020;020205
X4030;021105
X4040;021210
X5010;010110
X5020;010210
X5030;010310
X5040;010310
X6010;010115
X6020;010215
X6030;010215
X6040;010315
X7010;020105
X7020;020205
X7030;021110
X7040;021205
X8010;020105
X8020;020205
X8030;020205
X8030;021110
X8040;021205
01105;213210
01110;213205
01125;213205
01145;213210
01150;213205
01155;213205
01210;213105
01215;213150
01220;213105
01230;213175
01235;213105
01240;213160
01250;213110
01260;213105
01270;213105
01280;213155
01920;213415
01930;213315
01940;213305
01950;203215
02020;222110
02040;222120
02060;222115
02110;214205
02115;214215
02125;214255
02135;214210
02145;214225
02150;214245
02155;214265
02160;214230
02165;214260
02170;214240
02175;214105
02180;214125
02185;214120
02220;214405
02230;214305
02240;214365
02250;214610
02260;214510
02270;262410
02305;214305
02310;214310
02320;214305
02330;214305
02335;214325
02340;214340
02350;214310
02385;214365
02410;214405
02415;214405
02420;214405
02430;214405
02440;214405
02445;214405
02450;214430
02460;214425
02465;214405
02470;214410
02480;214405
02483;214610
02485;214415
02510;214505
02520;214525
02530;214520
02540;214525
02550;214505
02620;214610
02630;214610
02710;214705
02720;214705
02730;214705
02740;214705
02750;213405
02760;214705
02810;214905
02830;214925
02840;214915
02850;214910
02920;214605
02935;214805
02940;214505
02950;214255
02960;203210
03020;351105
03030;424125
03040;351305
03050;351305
03060;351310
03110;321110
03120;321105
03130;323105
03140;324205
03145;324210
03150;323105
03160;321305
03205;316305
03210;314620
03212;314725
03214;314710
03215;314730
03216;314720
03218;314705
03219;314715
03220;316310
03225;214610
03230;316110
03315;312105
03330;312305
03350;312315
03360;312205
03370;312210
03380;312320
03405;313105
03410;313215
03430;313315
03435;313120
03436;313125
03440;313205
03442;313210
03445;313315
03447;313320
03450;313315
03455;313320
03460;313315
03475;313315
03482;313315
03510;314110
03530;314310
03540;314305
03550;314115
03560;314315
03570;314125
03575;314120
03605;311105
03615;301115
03620;311205
03630;301110
03640;301105
03650;325115
03710;311605
03720;311615
03730;311625
03740;311610
03750;311620
03805;318005
03810;318430
03820;318205
03825;318310
03830;318305
03835;318115
03840;318420
03845;318105
03850;318215
03855;318110
03860;318415
03865;318425
03870;318405
03875;318120
03880;318210
03883;318015
03884;318410
03885;318015
03887;318010
03930;391105
03935;391125
03937;391220
03940;391110
03945;351605
03948;342120
03950;311510
03960;311305
03965;311515
03970;311110
03975;351715
03980;325205
03982;371305
03983;371310
03984;371305
03985;391205
03987;351725
03988;300305
03989;391135
04120;215305
04130;341105
04135;215305
04140;215305
04150;341115
04160;215315
04170;215310
04215;215115
04220;215115
04230;215115
04240;341215
04250;215220
04315;215210
04320;215205
04330;215220
05110;221105
05120;203025
05125;203005
05130;203010
05140;203015
05150;203020
05230;223410
05250;203015
05270;223405
06310;223208
06330;223272
06335;223268
06340;223212
06345;223240
06350;223244
06355;223236
06360;223256
06365;223260
06370;223248
06510;223305
06530;223305
06540;223310
06710;223405
06720;223405
06810;223710
06820;223710
06830;223705
07110;223505
07130;223560
07140;223530
07145;223545
07150;223520
07155;223525
07160;223555
07165;223550
07210;322205
07215;322215
07220;322210
07230;322220
07310;251605
07315;251605
07325;251605
07345;251605
07410;251510
07415;251540
07425;251505
07435;251510
07445;251535
07450;251525
07455;251515
07460;251530
07525;223910
07530;322305
07540;322305
07620;223605
07630;223905
07720;324115
07730;324110
07740;324105
07915;322105
07925;223810
07935;322405
07945;322115
07950;322505
08110;211205
08120;203120
08130;211210
08220;211115
08240;211110
08250;211105
08320;212405
08330;212420
08340;142515
08345;212410
08410;142510
08420;317110
08425;313505
08430;317115
09110;251205
09120;251225
09130;251215
09140;251210
09220;252105
09230;252105
09310;252210
09320;252205
09330;252210
09910;252205
09940;252510
12110;241005
12120;241015
12130;241020
12140;241035
12150;241025
12920;241215
12930;241210
12940;241010
12950;241040
13120;234505
13130;234520
13140;234510
13150;234515
13205;234210
13210;234205
13220;234210
13230;234210
13320;234310
13330;234310
13335;234310
13340;234310
13345;234310
13350;234310
13355;234310
13360;234305
13365;234305
13370;234310
13375;234310
13380;234310
13405;234110
13410;234115
13420;234105
13430;234105
13440;234110
13450;234105
13460;234115
13510;234805
13520;234805
13530;234805
13540;234805
13550;234805
13560;234810
13570;234815
13615;234730
13620;234730
13625;234730
13630;234730
13635;234730
13640;234730
13645;234705
13650;234735
13655;234745
13660;234720
13665;234770
13670;234740
13680;234760
13720;234405
13730;234405
13740;234405
13750;234435
13760;234435
13765;234420
13770;234435
13780;234415
13785;234425
13820;234624
13830;234616
13840;234648
13850;234672
13915;131305
13920;234310
13930;234320
13935;234215
13940;234215
13950;234305
13960;234125
13965;234676
13970;234910
13980;234410
14115;232145
14120;232150
14125;232135
14130;232140
14135;232140
14140;232160
14145;232155
14150;232130
14155;232165
14160;232110
14165;232115
14170;233130
14175;233120
14180;233115
14185;233125
14220;231210
14230;231335
14240;231340
14250;231305
14260;231325
14320;231105
14420;233135
14430;233110
14440;233210
14450;233215
14460;233205
14520;239215
14530;239225
14540;239205
14920;121010
14930;239430
14940;239410
14945;239415
14950;239405
14960;239420
15120;261515
15130;261510
15210;261125
15220;261115
15230;261140
15240;261135
15245;261120
15250;261505
15260;261505
15270;253110
15275;253110
15280;261530
15310;261715
15320;261715
15330;261710
15340;261715
15945;261610
15947;253115
15955;253105
15970;253105
16120;262405
16130;262405
16140;262405
16150;262405
16160;262405
16310;261805
16320;261815
16330;261810
16340;261820
16350;372105
16360;372115
16370;372115
17120;262605
17130;262610
17135;262615
17140;262610
17145;262705
17150;262615
17220;262815
17225;262320
17230;262810
17320;262505
17330;262220
17345;262205
17355;262215
17420;262120
17430;262110
17440;262115
17450;262105
17520;376245
17530;376235
17540;376205
17550;376255
17930;376305
18120;224125
18125;224120
18130;224135
18135;224125
18140;224125
18145;224115
18150;224125
18155;224125
18160;224125
18220;377110
18230;377135
18240;377130
18250;377145
18920;377205
19120;261205
19125;261210
19130;261305
19140;261310
19145;212305
19220;251120
19225;251610
19240;251105
19245;251110
19250;251305
19260;203520
19270;251115
19520;261405
19530;261420
19540;261410
19620;263105
19630;263110
19640;263115
19720;252405
19730;252405
19735;252405
19835;354305
19847;351720
19850;351740
19855;351705
19920;241030
19945;253125
19955;253120
19960;516705
21120;111105
21130;111110
21135;111115
21140;111120
21220;111225
21320;111330
21330;111340
21340;111340
21350;111345
21360;111325
21420;111405
21430;111410
21440;111415
22120;111405
22130;111405
22140;111405
23120;121010
23130;121010
23140;121010
23150;121010
23160;121010
23165;121010
23170;121010
23180;121010
23220;121010
23230;121010
23240;121010
23250;121010
23320;121010
23330;121010
23340;121010
23420;121010
23520;121010
23530;121010
23540;121010
23620;121010
23630;121010
23640;121010
23650;121010
23720;121010
23730;121010
23740;121010
23750;121010
23820;121010
23830;121010
23840;121010
23910;121010
24120;142105
24125;142105
24130;142210
24140;142310
24150;142205
24220;142105
24230;142605
24240;142105
24320;142115
24325;141710
24330;142305
24335;141720
24340;142405
24345;351710
24347;141715
24350;142320
24355;141705
24360;142310
24365;141720
24370;142315
24910;141205
24920;141605
24930;141610
24940;141705
30110;410105
30120;351315
30130;410105
30135;410215
30220;351110
30230;410230
30240;410225
30250;410210
30260;410235
30920;410205
30930;410220
31120;411010
31125;411010
31220;254415
31230;254415
31240;254405
31250;254405
31260;254405
31320;242305
31330;351810
31340;204105
31420;241335
31430;351410
31440;351425
31920;352210
31930;352205
31940;352205
31950;352305
31960;352410
31970;254405
31980;254405
31985;351305
32105;351505
32110;252305
32115;252310
32320;412105
32330;351510
32340;412115
32350;372205
33115;413110
33130;413110
33140;413210
33145;421125
33150;253305
33155;353225
33157;353230
33165;413215
33175;413110
33220;421105
33230;421115
33235;511220
33240;421120
33250;421210
33260;421205
33270;519940
33920;413110
33925;413230
33930;413105
33950;413115
33960;421305
33970;411040
34120;411010
34130;411010
34220;317205
34225;317205
34230;411010
34232;317205
34235;317205
34240;412110
34320;412110
34330;412120
34410;412120
34415;391115
34420;391120
34430;391120
34440;142515
35120;342405
35130;342410
35140;342410
35220;141610
35230;141610
35240;313315
35320;342520
35330;342510
35340;342505
35350;342515
35420;342305
35430;342310
35520;342610
36025;511210
36035;511205
36040;511215
37020;415210
37030;415205
37040;415205
38020;422205
38025;422315
38030;372205
38040;372210
38045;372210
38050;372210
38060;372210
38070;372210
38080;372205
38085;422205
39115;414105
39120;414110
39125;410220
39130;414105
39135;414105
39140;414110
39145;414105
39146;414105
39150;414115
39310;411005
39315;413225
39320;351305
39325;354125
39330;411030
39340;351430
39360;414205
39370;414210
39380;411045
39385;342210
39410;422105
39415;422125
39417;420125
39420;422120
39430;422110
39435;422115
39520;371105
39530;415105
39540;415120
39915;414210
39917;391215
39920;411035
39930;415115
39935;519940
39950;415130
39960;415125
39965;415115
39970;412205
39975;414105
41020;141405
41030;141410
42120;520110
42130;520110
42140;521115
42150;141415
42215;354210
42220;354205
42230;354205
43120;354135
43130;354135
43220;354145
43230;354705
43240;354110
44120;354505
44130;354605
44140;253305
44220;354120
44230;354110
44320;354405
44330;354415
44340;354410
44350;351730
45120;521105
45130;521110
45160;521135
45170;521130
45220;524305
45230;524105
45240;524210
45250;524310
45320;521120
45330;376410
45430;375105
45450;375110
49030;848510
49040;524205
50020;141505
50025;141515
50030;141510
50035;141520
50040;511115
52020;513110
52030;513105
52040;513110
52050;511115
52070;513115
52080;414105
53110;513205
53120;513205
53140;513210
53145;513220
53150;513225
53160;513205
53170;513205
53210;513405
53220;510135
53240;513410
53245;510130
53250;513420
53260;513425
53265;513430
53270;513435
54010;510115
54020;512105
54035;516205
54045;516215
54050;513315
54053;510120
54055;517405
54060;513320
54070;513325
54120;511105
54130;511110
55115;510110
55120;514120
55125;517410
55135;514110
55140;514115
55150;514105
55215;514225
55220;514320
55230;514305
55250;514215
55260;514205
56010;516305
56020;516310
56025;516315
56030;516320
56040;516410
56060;516325
56070;516415
56080;516330
57020;516110
57030;516105
57040;516115
57045;322120
57050;516120
57055;516140
57058;322110
57060;516130
57065;516125
57210;322230
57215;322235
57220;515110
57230;515120
57240;515205
57250;322225
57260;515115
57275;515215
57280;818110
58110;517110
58140;517105
58150;517110
58220;517205
58230;351810
58240;351805
58250;351815
58320;517330
58330;517420
58340;517305
58420;517220
58430;517210
58930;517315
58950;517115
59115;354815
59120;511405
59125;511405
59130;511405
59135;511405
59220;516505
59230;328105
59915;519925
59925;519935
59935;519915
59945;519905
59955;517415
59965;519945
59985;519930
60010;620110
60020;620105
60040;620115
60050;630110
60110;620110
60120;620105
60130;620115
60140;630110
61110;611005
61120;612005
61130;613005
61215;612005
61225;613010
61240;613110
61250;613115
61260;613305
61270;612305
61275;612505
61280;612405
62105;621005
62120;622020
62130;623015
63120;622120
63130;622105
63140;622115
63150;622110
63220;622205
63230;622210
63240;612215
63250;622215
63310;622310
63320;622315
63330;622315
63340;622315
63350;622305
63360;622310
63370;622320
63380;622305
63410;622425
63420;622425
63510;622505
63520;622505
63530;622505
63540;622505
63550;622515
63560;622505
63570;622505
63580;622505
63620;622610
63625;622610
63630;622605
63640;622615
63650;622805
63660;622620
63720;622730
63730;622705
63740;622725
63750;622715
63760;622720
63820;622810
63830;622810
63920;622015
63925;632015
63930;622020
63940;622010
63950;622020
64120;623110
64130;623115
64140;623125
64150;623105
64160;623005
64170;623020
64180;623115
64220;623215
64230;623210
64240;623205
64320;623305
64330;623320
64420;623410
64430;623420
64920;623015
64930;623010
64940;623020
64950;623325
64960;623005
65110;632125
65120;632120
65130;632115
65140;632110
65220;632205
65230;632210
65240;632215
65320;632310
65330;632325
65340;632355
65350;632365
65360;632340
65420;632410
65430;622615
65440;622625
65520;632520
65530;632505
65540;632515
65920;632605
65930;517320
66120;341225
66130;341225
66140;341220
66220;631205
66230;631410
66320;631105
66330;631010
66420;631325
66430;631320
66440;631330
66920;341230
66930;341230
67120;641015
67130;641010
67140;641005
67220;623115
67230;623315
67320;642015
67330;632120
70115;720125
70120;810110
70125;810105
70130;810205
70135;750205
70140;720215
70145;720210
70150;730105
70155;830105
70160;840105
70165;760125
70170;760405
70175;770105
70177;760605
70180;720205
70183;710205
70184;710220
70185;710210
70186;710225
70187;710215
70220;710120
70230;710120
70320;860115
70330;860110
70340;860105
70420;760110
70430;760120
70440;760115
70450;760105
70520;910105
70530;950105
70540;313415
70550;811010
71105;711130
71110;711110
71150;711120
71160;711125
71170;711105
71220;711215
71230;711225
71240;711220
71250;711230
71260;711240
71320;711115
71330;712105
71335;711215
71340;712120
71350;712135
71360;712110
71370;712115
71380;712130
71420;711315
71430;711325
71440;711330
71450;316340
71460;316335
71520;711320
71525;711310
71527;711305
71620;711410
71920;711405
71930;711320
72015;821240
72020;821235
72023;821235
72025;821230
72030;821230
72035;821255
72113;821245
72120;821205
72130;821205
72140;821210
72150;821205
72160;821215
72170;821220
72180;821225
72210;821305
72215;821305
72220;821315
72240;821310
72250;821320
72260;821325
72280;821330
72285;821335
72315;822125
72317;822115
72325;822110
72330;822105
72335;822105
72340;822120
72345;822115
72420;722205
72430;722220
72440;722225
72460;722210
72470;722215
72475;722235
72480;722230
72515;722325
72520;722315
72540;722320
72550;722305
72560;722310
72620;723120
72630;723125
72640;723105
72650;723110
72660;723115
72670;723125
72720;722415
72730;722415
72740;722410
72750;722415
72820;723215
72830;723225
72835;723235
72840;723230
72845;723205
72850;723220
72855;723210
72860;723240
72915;821405
72930;821450
72935;821435
72950;821425
72960;821420
72965;823305
72967;823130
72968;821110
72970;821410
72977;821445
72980;821110
72983;821110
72985;821430
72987;821415
73120;772115
73130;772110
73210;773120
73215;773110
73220;773115
73225;773125
73230;773130
73240;773105
73320;831115
73330;831115
73340;831115
73350;831110
73355;831120
73360;831105
73370;831125
73410;832125
73420;832115
73430;832120
73435;832120
73440;832105
73470;832110
73520;773205
73530;773215
73540;773220
73550;773210
73920;772105
73930;832135
73940;391225
74120;811115
74130;811105
74140;811110
74220;811205
74230;811205
74240;811205
74250;811205
74320;811330
74330;811320
74335;811315
74340;811305
74350;811310
74360;811335
74420;811410
74430;811415
74440;811420
74450;811430
74460;811405
74470;811425
74480;841705
74520;811505
74530;811510
74540;811505
74550;811505
74560;811505
74620;811650
74630;811625
74640;811605
74650;811645
74660;811615
74670;811620
74675;811635
74680;811610
74685;811630
74720;811810
74915;811005
74925;862115
74935;761354
74940;811215
74945;821250
74947;862155
74950;811130
74960;811125
74970;782625
74975;812105
74980;818105
74985;811120
75115;761105
75120;761110
75125;761205
75130;761205
75135;761220
75145;761255
75160;761205
75170;761250
75175;761240
75180;761235
75210;761230
75240;761260
75250;761225
75315;761351
75325;761357
75335;761363
75350;761366
75360;761348
75430;768105
75432;761321
75433;761315
75440;761324
75442;761309
75445;761312
75447;761318
75450;761306
75455;768110
75460;761345
75465;761303
75520;761327
75525;761330
75527;761333
75530;761336
75535;761339
75537;761342
75612;761405
75615;761405
75620;311710
75625;311710
75635;761430
75640;761420
75643;761420
75645;761415
75647;761420
75660;761425
75670;761415
75675;761410
75680;761435
75685;761815
75920;768130
75925;761360
75930;768130
75940;768120
75955;768115
75960;761354
75965;761415
75970;761415
75980;761435
76120;762105
76130;762105
76135;762110
76137;762115
76140;762125
76143;762220
76145;762205
76147;762315
76150;762340
76153;762335
76155;311725
77110;841115
77120;841105
77130;841115
77140;841110
77220;841315
77240;841320
77250;841305
77260;841310
77310;848520
77315;848505
77325;848515
77335;848525
77410;841408
77415;841428
77420;841440
77425;841420
77430;841456
77440;841432
77445;841416
77450;848110
77460;848105
77470;848115
77480;841484
77510;841505
77520;848205
77530;848215
77540;848210
77560;841476
77620;848305
77640;848315
77645;841805
77660;848310
77665;840120
77670;848325
77720;848405
77725;848415
77727;848410
77730;841605
77740;841630
77750;841610
77760;841625
77770;841615
77775;841615
77780;841620
