CODIGO;TITULO
0101;Oficiais generais das forças armadas
0102;Oficiais das forças armadas
0103;Praças das forças armadas
0201;Oficiais superiores da polícia militar
0202;Capitães da  polícia militar
0203;Tenentes da polícia militar
0211;Subtenentes e sargentos da policia militar
0212;Cabos e soldados da polícia militar
0301;Oficiais superiores do corpo de bombeiros militar
0302;Oficiais intermediários do corpo de bombeiros militar
0303;Tenentes do corpo de bombeiros militar
0311;Subtenentes e sargentos do corpo de bombeiros militar
0312;Cabos e soldados do corpo de bombeiros militar
1111;Legisladores
1112;Dirigentes gerais da administração pública
1113;Magistrados
1114;Dirigentes do serviço público
1115;Gestores públicos
1130;Dirigentes de povos indígenas, de quilombolas e caiçaras
1141;Dirigentes de partidos políticos
1142;Dirigentes e administradores de entidades patronais e dos trabalhadores e de outros interesses sócioeconômicos
1143;Dirigentes e administradores de entidades religiosas
1144;Dirigentes e administradores de organizações da sociedade civil sem fins lucrativos
1210;Diretores gerais
1221;Diretores de produção e operações em empresa agropecuária, pesqueira , aqüícola e florestal
1222;Diretores de produção e operações em empresa da indústria extrativa, transformação e de serviços de utilidade pública
1223;Diretores de operações de obras em empresa de construção
1224;Diretores de operações em empresa do comércio
1225;Diretores de serviços de turismo, de alojamento e de alimentação
1226;Diretores de operações de serviços em empresa de armazenamento, de transporte e de telecomunicação
1227;Diretores de operações de serviços em instituição de intermediação financeira
1231;Diretores administrativos e financeiros
1232;Diretores de recursos humanos e relações de trabalho
1233;Diretores de comercialização e marketing
1234;Diretores de suprimentos e afins
1236;Diretores de serviços de informática
1237;Diretores de pesquisa e desenvolvimento
1238;Diretores de manutenção
1311;Diretores e gerentes de operações em empresa de serviços pessoais, sociais e culturais
1312;Gestores e especialistas de operações em empresas, secretarias e unidades de serviços de saúde
1313;Diretores e gerentes de instituição de serviços educacionais
1411;Gerentes de produção e operações em empresa agropecuária, pesqueira, aqüícola e florestal
1412;Gerentes de produção e operações em empresa da indústria extrativa, de transformação e de serviços de utilidade pública
1413;Gerentes de obras em empresa de construção
1414;Gerentes de operações comerciais e de assistência técnica
1415;Gerentes de operações de serviços em empresa de turismo, de alojamento e alimentação
