CODIGO;TITULO
010;MEMBROS DAS FORÇAS ARMADAS                                                                                                        
020;OFICIAIS DE POLÍCIA MILITAR                                                                                                       
021;PRAÇAS DE POLÍCIA MILITAR                                                                                                         
030;OFICIAIS DE BOMBEIRO MILITAR                                                                                                      
031;PRAÇAS DE BOMBEIRO MILITAR                                                                                                        
111;MEMBROS SUPERIORES DO PODER LEGISLATIVO, EXECUTIVO E JUDICIÁRIO                                                                   
113;CHEFES DE PEQUENAS POPULAÇÕES                                                                                                     
114;DIRIGENTES E ADMINISTRADORES DE ORGANIZAÇÃO DE INTERESSE PÚBLICO                                                                  
121;DIRETORES GERAIS                                                                                                                  
122;DIRETORES DE PRODUÇÃO E OPERAÇÕES                                                                                                 
123;DIRETORES DE ÁREAS DE APOIO                                                                                                       
131;DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DE EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS                  
141;GERENTES DE PRODUÇÃO E OPERAÇÕES                                                                                                  
142;GERENTES DE ÁREAS DE APOIO                                                                                                        
201;PROFISSIONAIS DA BIOTECNOLOGIA E METROLOGIA                                                                                       
202;PROFISSIONAIS DA ELETROMECÂNICA                                                                                                   
203;PESQUISADORES                                                                                                                     
204;PROFISSIONAIS DE INVESTIGAÇÃO CRIMINAL                                                                                            
211;MATEMÁTICOS, ESTATÍSTICOS E AFINS                                                                                                 
212;PROFISSIONAIS DA INFORMÁTICA                                                                                                      
213;FÍSICOS, QUÍMICOS E AFINS                                                                                                         
214;ENGENHEIROS, ARQUITETOS E AFINS                                                                                                   
215;PROFISSIONAIS EM NAVEGAÇÃO AÉREA, MARÍTIMA E FLUVIAL                                                                              
221;BIÓLOGOS E AFINS                                                                                                                  
222;AGRÔNOMOS E AFINS                                                                                                                 
223;PROFISSIONAIS DA MEDICINA, SAÚDE E AFINS                                                                                          
224;PROFISSIONAIS DA EDUCAÇÃO FÍSICA                                                                                                  
225;PROFISSIONAIS DA MEDICINA
226;PROFISSIONAIS DE SAÚDE EM PRATICAS INTEGRATIVAS E COMPLEMENTARES
231;PROFESSORES DE NÍVEL SUPERIOR NA EDUCAÇÃO INFANTIL E NO ENSINO FUNDAMENTAL                                                        
232;PROFESSORES DO ENSINO MÉDIO                                                                                                       
233;PROFESSORES E INSTRUTORES DO ENSINO PROFISSIONAL                                                                                  
234;PROFESSORES DO ENSINO SUPERIOR                                                                                                    
239;OUTROS PROFISSIONAIS DO ENSINO NÃO CLASSIFICADOS ANTERIORMENTE                                                                    
241;ADVOGADOS, PROCURADORES, TABELIÃES E AFINS                                                                                        
242;ADVOGADOS DO PODER JUDICIÁRIO E DA SEGURANÇA PÚBLICA                                                                              
251;CIENTISTAS SOCIAIS, PSICÓLOGOS E AFINS                                                                                            
252;PROFISSIONAIS DE ORGANIZAÇÃO E ADMINISTRAÇÃO DE EMPRESAS E AFINS                                                                  
253;PROFISSIONAIS DE RELAÇÕES PÚBLICAS, PUBLICIDADE, MARKETING E COMERCIALIZAÇÃO                                                      
254;AUDITORES FISCAIS PÚBLICOS                                                                                                        
261;PROFISSIONAIS DA COMUNICAÇÃO E DA INFORMAÇÃO                                                                                      
262;PROFISSIONAIS DE ESPETÁCULOS E DAS ARTES                                                                                          
